City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
San Francisco,CA,Private,27,27,26,110,101,71,NA,135,1926,57,California Golf Club,7.7667,7.8189,7.6177,7.7181,7.7812,7.6548,7.8514,7.6116,7.5354,7.634,7.6122,7.5287,7.7433,7.7286,61.0054,7.6959,7.8215,7.6078,7.6821,7.707,7.6195,7.8221,69.3339
Garden City,NY,Private,25,28,28,46,61,64,NA,140,1899,58,Garden City Golf Club,7.6913,8.1374,7.4868,7.7025,7.8744,7.6675,7.789,7.7086,7.415,7.8091,7.8218,7.6732,7.8176,8.2308,62.1847,7.6591,8.1106,7.3999,7.6897,7.8415,7.6407,7.7518,69.4421
Kailua-Kona,HI,Private,94,91,83,NA,NA,49,NA,133,2003,59,Nanea Golf Club,7.6289,7.7893,7.4001,7.6036,7.831,8.157,8.0379,NA,NA,NA,NA,NA,NA,NA,NA,7.668,7.9539,7.4201,7.7041,7.9282,8.0933,8.0377,70.1774
Newburgh,IN,Private,NA,NA,NA,43,47,53,NA,152,1999,60,Victoria National Golf Club,7.6603,7.6175,8.1249,7.7047,7.1284,7.7336,7.6227,7.7767,8.1079,7.8407,7.9116,7.8686,7.7234,7.6851,62.6907,7.7193,7.6324,8.1046,7.7578,7.2038,7.7341,7.702,69.33109999999999
Bandon,OR,Public,38,40,39,70,67,65,11,137,2005,61,Bandon Trails,7.684,7.8323,7.6191,7.8407,7.629,7.8015,7.4827,7.6705,7.5906,7.8411,7.8179,7.9023,7.5669,7.9625,62.02230000000001,7.6548,7.8704,7.5899,7.8465,7.6285,7.8417,7.5351,69.4682
Toledo,OH,Private,33,33,41,89,65,58,NA,151,1919,62,Inverness Club,7.7221,7.8824,7.8484,7.5586,7.6264,7.5214,7.9366,7.7697,7.9677,7.5638,7.5183,7.4814,8.0311,7.9867,62.08840000000001,7.7614,7.931,7.8765,7.5696,7.6459,7.5322,7.9793,69.62689999999999
Englewood,CO,Private,100,88,91,73,73,68,NA,145,1923,63,Cherry Hills Country Club,7.688,7.9033,7.6441,7.7236,7.605,7.5839,7.7893,7.6431,7.5643,7.6757,7.7663,7.6825,7.8655,8.0657,61.90619999999999,7.6696,7.9216,7.6005,7.7296,7.6463,7.5858,7.7205,69.27309999999999
Edina,MN,Private,NA,NA,73,54,59,84,NA,141,1911,64,Interlachen Country Club,7.7267,7.8508,7.5772,7.7473,7.6248,7.5802,7.7259,7.7251,7.546,7.7572,7.7813,7.6638,7.8739,8.152,62.2244,7.51,7.8438,7.3988,7.5577,7.4441,7.4435,7.6515,67.9171
Deer Lodge,MT,Private,48,45,38,113,81,56,NA,146,2008,65,Rock Creek Cattle Company,7.6949,7.6938,7.525,7.7816,7.7593,7.854,7.6357,7.6274,7.4658,7.7496,7.8235,7.8968,7.6944,7.7131,61.598,7.7465,7.7488,7.5783,7.86,7.8147,7.9048,7.7375,69.9971
Trinity,TX,Private,NA,NA,NA,55,55,51,NA,150,2000,66,Whispering Pines Golf Club,7.6616,7.769,7.7,7.6819,7.5653,7.732,7.6937,7.7418,7.7663,7.7386,7.8089,7.8142,7.7201,7.9844,62.316100000000006,7.7133,7.8528,7.7766,7.7546,7.5305,7.7832,7.7611,69.64000000000001
Bethesda,MD,Private,NA,55,61,75,91,73,NA,140,1924,67,Congressional Country Club (Blue),7.6864,7.7483,7.784,7.6486,7.5247,7.6047,7.7633,7.6356,7.8495,7.4883,7.565,7.5039,7.7079,7.9524,61.3382,7.6607,7.7561,7.7481,7.6179,7.5167,7.5249,7.7016,68.80460000000001
Naples,FL,Private,98,93,NA,96,74,69,NA,143,2001,68,Calusa Pines Golf Club,7.616,7.7184,7.7352,7.669,7.4389,7.6449,7.8657,7.6203,7.698,7.7074,7.6689,7.7151,7.9643,7.8215,61.8158,7.6142,7.7457,7.7023,7.658,7.347,7.652,7.9087,68.90010000000001
Rome,WI,Public,NA,NA,30,NA,NA,NA,12,NA,NA,69,Sand Valley: Lido,7.8317,7.8481,7.6632,7.773,7.574,7.3391,7.4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scottsdale,AZ,Private,NA,NA,NA,74,72,70,NA,147,1995,70,The Estancia Club,7.5987,7.7243,7.453,7.6353,7.7571,7.9249,7.944,7.5737,7.4562,7.6744,7.7645,8.0016,8.0414,7.8453,61.9308,7.6008,7.7704,7.47,7.6436,7.7808,7.9763,7.9585,69.4448
Santa Barbara,CA,Private,55,49,58,80,78,76,NA,133,1929,71,The Valley Club of Montecito,7.5572,7.9787,7.3019,7.6492000000000004,7.8336,7.8466,7.9605,7.5443,7.1969,7.7001,7.7446,7.8804,7.8544,8.2101,61.6751,7.5371,8.0152,7.3057,7.6244,7.7902,7.841,7.959,69.2341
